source,target,company,similarity
davis aaron i.,lewis joseph,ODT,3.2628
hearne michael s,lemkey john g,ODT,2.50466
hearne michael s,tang kevin c,ODT,3.06444
lemkey john g,tang kevin c,ODT,5.3443
david shay,halevi-davidov naama,KLTR,8.34875
dauerman mitchell k,scherr marc d,ULTI,2.30143
dauerman mitchell k,scherr scott,ULTI,2.55856
dauerman mitchell k,swick gregory,ULTI,2.06334
manne robert,rogers adam,ULTI,2.42677
manne robert,swick gregory,ULTI,2.21856
phenicie john c,rogers adam,ULTI,3.04181
phenicie john c,swick gregory,ULTI,3.15589
rogers adam,swick gregory,ULTI,3.92889
scherr marc d,scherr scott,ULTI,2.30143
scherr marc d,swick gregory,ULTI,2.08833
scherr scott,swick gregory,ULTI,2.06334
danis richard,harburn mike,RGTI,7.18426
danis richard,rigetti chad,RGTI,7.18426
danis richard,sereda brian j,RGTI,7.18426
harburn mike,rigetti chad,RGTI,10.058
harburn mike,sereda brian j,RGTI,10.058
rigetti chad,sereda brian j,RGTI,10.058
anderson troy r,hitchcock todd a,UTI,2.08333
anderson troy r,kevane christopher e.,UTI,2.08333
anderson troy r,smith lori b,UTI,2.08333
fesperman bart,mason sonia claire,UTI,2.17914
fesperman bart,severson eric,UTI,2.17914
gray adam,shackelton christopher s,UTI,5.43298
hitchcock todd a,kevane christopher e.,UTI,2.35969
hitchcock todd a,smith lori b,UTI,2.35969
kevane christopher e.,smith lori b,UTI,2.35969
mason sonia claire,severson eric,UTI,2.17914
dakos andrew,goldstein phillip,FAV,2.12327
dakos andrew,samuels steven,FAV,2.12327
goldstein phillip,samuels steven,FAV,2.12327
dakos andrew,goldstein phillip,AKP,14.6
dakos andrew,samuels steven,AKP,14.6
goldstein phillip,samuels steven,AKP,14.6
martin christopher ross,pappas james c,RRGB,2.322
taube brook,taube seth,MCC,9.82646
cowie robin harper,hutton scott,BDSX,2.22449
cowie robin harper,o'kane kieran,BDSX,2.33605
cowie robin harper,pestano gary anthony,BDSX,2.21939
hutton scott,o'kane kieran,BDSX,2.33605
hutton scott,pestano gary anthony,BDSX,2.21939
o'kane kieran,pestano gary anthony,BDSX,2.56083
loose christopher r.,lucchino david l.,FREQ,2.05674
curley kevin m,flynn brian c,TRST,2.0945
curley kevin m,hall michael james,TRST,3.7878
curley kevin m,leonard robert m,TRST,2.82228
curley kevin m,mccormick robert j,TRST,3.02408
curley kevin m,ozimek michael m,TRST,3.03079
curley kevin m,salvador scot r,TRST,3.00188
curley kevin m,schreck eric w,TRST,3.25375
de gennaro dennis a,maggs thomas o,TRST,2.19693
de gennaro dennis a,marinello anthony j md phd,TRST,2.06162
flynn brian c,hall michael james,TRST,2.46658
flynn brian c,maggs thomas o,TRST,2.1941
flynn brian c,marinello anthony j md phd,TRST,2.06415
hall michael james,leonard robert m,TRST,3.00206
hall michael james,maggs thomas o,TRST,2.09059
hall michael james,mccormick robert j,TRST,3.23775
hall michael james,ozimek michael m,TRST,3.35529
hall michael james,salvador scot r,TRST,3.30974
hall michael james,schreck eric w,TRST,3.49456
leonard robert m,mccormick robert j,TRST,2.79413
leonard robert m,ozimek michael m,TRST,2.8102
leonard robert m,salvador scot r,TRST,2.69333
leonard robert m,schreck eric w,TRST,2.95914
maggs thomas o,marinello anthony j md phd,TRST,2.37457
maggs thomas o,mccormick robert j,TRST,2.00663
maggs thomas o,ozimek michael m,TRST,2.15847
maggs thomas o,salvador scot r,TRST,2.02041
maggs thomas o,schreck eric w,TRST,2.15595
marinello anthony j md phd,ozimek michael m,TRST,2.03064
marinello anthony j md phd,schreck eric w,TRST,2.02843
mccormick robert j,ozimek michael m,TRST,3.20012
mccormick robert j,salvador scot r,TRST,3.04271
mccormick robert j,schreck eric w,TRST,3.11586
ozimek michael m,salvador scot r,TRST,3.16412
ozimek michael m,schreck eric w,TRST,3.29202
salvador scot r,schreck eric w,TRST,3.20425
mnaymneh sami,tamer anthony,WHF,17.7658
gustavson tamara hughes,hughes b wayne et al,AMH,5.35505
alexander delisa,whitehurst james m,RHT,2.22625
jacullo peter j iii,kamin peter h,TTS,2.74552
dougan brady w,niklason laura e,HUMA,7.72234
freedman joseph david,liuzza nicholas reyland jr,RCAT,2.66667
freedman joseph david,thompson jeffrey m,RCAT,2.16687
matus george michael,thompson jeffrey m,RCAT,2.37309
raneri stephen,rosen arthur,DAVE,8.25422
coleman charles p iii,shleifer scott l,WEAV,15.7692
modersitzki blake g,neish branden,WEAV,2.05946
cohen jonathan h,rosenthal saul b,TICC,13.964
clarke jeffrey w,sweet thomas w,DELL,4.16568
drew john,hoag jay c,ALRM,5.05651
drew john,kimball rick,ALRM,5.05651
drew john,marshall christopher p,ALRM,3.45972
drew john,reynolds jon q jr,ALRM,4.10842
drew john,trudeau robert,ALRM,5.05651
hoag jay c,kimball rick,ALRM,5.05651
hoag jay c,marshall christopher p,ALRM,3.45972
hoag jay c,reynolds jon q jr,ALRM,4.10842
hoag jay c,trudeau robert,ALRM,5.05651
kimball rick,marshall christopher p,ALRM,3.45972
kimball rick,reynolds jon q jr,ALRM,4.10842
kimball rick,trudeau robert,ALRM,5.05651
marshall christopher p,reynolds jon q jr,ALRM,3.43537
marshall christopher p,trudeau robert,ALRM,3.45972
reynolds jon q jr,trudeau robert,ALRM,4.10842
blom douglas e,koetz john m,JOY,2.61957
doheny edward l ii,kulasa matthew s,JOY,2.97476
doheny edward l ii,major sean d,JOY,2.47696
doheny edward l ii,maritz johannes s.,JOY,2.41635
kulasa matthew s,major sean d,JOY,3.27814
kulasa matthew s,maritz johannes s.,JOY,3.14198
major sean d,maritz johannes s.,JOY,2.7541
cearnal martin e,galante joseph c,CPIX,5.78581
cearnal martin e,jones james,CPIX,11.5469
cearnal martin e,kazimi a j,CPIX,17.2507
cearnal martin e,krogulski kenneth,CPIX,9.80693
cearnal martin e,young caroline,CPIX,9.60947
galante joseph c,jones james,CPIX,16.9031
galante joseph c,kazimi a j,CPIX,8.92432
galante joseph c,krogulski kenneth,CPIX,19.9805
galante joseph c,young caroline,CPIX,16.3938
jones james,kazimi a j,CPIX,8.90361
jones james,krogulski kenneth,CPIX,19.8472
jones james,young caroline,CPIX,19.2535
kazimi a j,krogulski kenneth,CPIX,12.8569
kazimi a j,young caroline,CPIX,9.70427
krogulski kenneth,young caroline,CPIX,18.9888
coleman charles p iii,fixel lee,APO,6.36961
coleman charles p iii,shleifer scott l,APO,6.36961
fixel lee,shleifer scott l,APO,6.36961
karam andrew,krystynak john,APP,2.51978
lindenbaum bennett d,lindenbaum matthew a,RM,6.10704
burke james r,durrett cynthia m.,SOI,3.5967
burke james r,keenan w howard jr,SOI,3.5967
burke james r,ramachandran kyle s.,SOI,3.5967
burke james r,zartler william a,SOI,2.36033
durrett cynthia m.,keenan w howard jr,SOI,5.81005
durrett cynthia m.,ramachandran kyle s.,SOI,5.81005
durrett cynthia m.,zartler william a,SOI,3.77653
keenan w howard jr,ramachandran kyle s.,SOI,5.81005
keenan w howard jr,zartler william a,SOI,3.77653
ramachandran kyle s.,zartler william a,SOI,3.77653
knowlton calvin h,knowlton orsula v,TRHC,4.5003
chopra chandan,zayas orlando,KPLT,2.42497
totalenergies gestion usa sarl,totalenergies se,CWEN,2.24889
lashkari deval,mackowski j matthew,LDRH,5.89796
lashkari deval,raffin thomas a.,LDRH,5.89796
lashkari deval,shepler robert g,LDRH,5.89796
mackowski j matthew,raffin thomas a.,LDRH,5.89796
mackowski j matthew,shepler robert g,LDRH,5.89796
raffin thomas a.,shepler robert g,LDRH,5.89796
demartino steven a,hoffman andrew john,TACT,2.14413
demartino steven a,shuldman bart c,TACT,2.43209
hoffman andrew john,shuldman bart c,TACT,2.40445
goeddel david v,kutzkey tim,NGM,8.07556
goeddel david v,svennilson peter,NGM,8.07556
kutzkey tim,svennilson peter,NGM,8.77779
short jay m phd,sievers eric,BCAB,4.38533
short jay m phd,smith scott andrew,BCAB,4.38533
short jay m phd,vasquez christian,BCAB,5.086
short jay m phd,waldron richard a,BCAB,5.11621
sievers eric,smith scott andrew,BCAB,4.33319
sievers eric,vasquez christian,BCAB,4.38533
sievers eric,waldron richard a,BCAB,4.38533
smith scott andrew,vasquez christian,BCAB,4.38533
smith scott andrew,waldron richard a,BCAB,4.38533
vasquez christian,waldron richard a,BCAB,5.11621
arens timothy j.,maharaj gary r,SRDX,2.62671
arens timothy j.,olson charles w,SRDX,2.52914
arens timothy j.,stich joseph j.,SRDX,2.68191
maharaj gary r,olson charles w,SRDX,2.23393
maharaj gary r,stich joseph j.,SRDX,2.36916
manders john d.,sides teri woodwick,SRDX,2.07006
olson charles w,stich joseph j.,SRDX,2.46088
phillips bryan k,sutton gregg s,SRDX,3.38536
davidson charles e,jacobs joseph,FANG,2.42967
shapiro lee,tullman glen,LVGO,2.7708
griffith william j.g.,jacobson matthew,PCOR,2.29809
griffith william j.g.,makan divesh,PCOR,2.60074
jacobson matthew,makan divesh,PCOR,2.60074
baab jason p,mctague emma m,OSK,2.49647
bleck timothy s,mctague emma m,OSK,2.19481
bleck timothy s,verich john s,OSK,3.44898
brandt bryan k,cortina ignacio a,OSK,2.72802
brandt bryan k,freeders james c,OSK,2.99755
brandt bryan k,hawkins thomas p,OSK,2.15516
brandt bryan k,khare anupam,OSK,2.45418
brandt bryan k,nelson bradley m.,OSK,2.16903
brandt bryan k,pack michael e,OSK,2.42469
bryant john j,cortina ignacio a,OSK,2.17195
bryant john j,grennier r scott,OSK,2.42719
bryant john j,nelson bradley m.,OSK,2.12859
cortina ignacio a,freeders james c,OSK,2.74566
cortina ignacio a,johnson james w.,OSK,2.2777
cortina ignacio a,nelson bradley m.,OSK,2.42417
cortina ignacio a,nerenhausen frank r.,OSK,2.15167
freeders james c,grennier r scott,OSK,2.00603
freeders james c,johnson james w.,OSK,2.01229
freeders james c,khare anupam,OSK,2.00181
freeders james c,nelson bradley m.,OSK,2.28526
freeders james c,pack michael e,OSK,2.22694
hawkins thomas p,khare anupam,OSK,2.24339
hawkins thomas p,pack michael e,OSK,2.17687
johnson james w.,nelson bradley m.,OSK,2.10527
johnson james w.,nerenhausen frank r.,OSK,2.03526
khare anupam,mctague emma m,OSK,2.16785
khare anupam,pack michael e,OSK,2.68528
khare anupam,pfeifer john c,OSK,2.11416
mctague emma m,pack michael e,OSK,2.57433
mctague emma m,pfeifer john c,OSK,2.30904
mctague emma m,verich john s,OSK,2.19481
nelson bradley m.,nerenhausen frank r.,OSK,2.31161
pack michael e,pfeifer john c,OSK,2.45044
chakma justin,shawver laura,SPRY,4.91769
horowitz joshua,palmer bradley c,LMB,6.85941
camp garrett,kalanick travis cordell,UBER,9.07084
gupta manik,kalanick travis cordell,UBER,2.01539
foliano michael,kimpe marc,ADTN,3.11013
foliano michael,scheiterer eduard,ADTN,2.16001
foliano michael,stanton thomas r,ADTN,3.32297
foliano michael,wilson james denson jr,ADTN,3.74522
kimpe marc,scheiterer eduard,ADTN,2.01733
kimpe marc,stanton thomas r,ADTN,2.36134
kimpe marc,wilson james denson jr,ADTN,2.76737
stanton thomas r,wilson james denson jr,ADTN,4.45529
isaly samuel d,khuong chau quang,OTIC,11.5115
quinn nancy k,watt james a,HLX,2.13441
catoggio nicolas,harper bradly a,POST,2.01899
gray diedre j,zadoks jeff a,POST,2.09335
behar jerome m,behar leslie f.,WK,4
yan ellis,yan zhaoling,TCPI,8.00082
landes joshua,obus nelson,JASN,6.25
brown robert l,elmore stephen a,CZBS,3.60225
brown robert l,moody charles d jr,CZBS,3.60225
brown robert l,robinson ray m,CZBS,3.60225
brown robert l,russell h jerome,CZBS,3.60225
brown robert l,williams james e,CZBS,3.60225
elmore stephen a,moody charles d jr,CZBS,3.60225
elmore stephen a,robinson ray m,CZBS,3.60225
elmore stephen a,russell h jerome,CZBS,3.60225
elmore stephen a,williams james e,CZBS,3.60225
moody charles d jr,robinson ray m,CZBS,3.60225
moody charles d jr,russell h jerome,CZBS,3.60225
moody charles d jr,williams james e,CZBS,3.60225
robinson ray m,russell h jerome,CZBS,3.60225
robinson ray m,williams james e,CZBS,3.60225
russell h jerome,williams james e,CZBS,3.60225
harrington john,monto richard,IQNT,2.24288
maupin john e jr d d s,shaw l edward jr,EHC,2.17914
cocchiaro richard m,sutter howard w,kfrc,2.61241
chaffee todd c,fogelsong norman a,HNST,9.56681
chaffee todd c,harrick stephen j,HNST,9.56681
chaffee todd c,miller j sanford,HNST,9.56681
chaffee todd c,phelps dennis b,HNST,9.56681
fogelsong norman a,harrick stephen j,HNST,9.56681
fogelsong norman a,miller j sanford,HNST,9.56681
fogelsong norman a,phelps dennis b,HNST,9.56681
harrick stephen j,miller j sanford,HNST,9.56681
harrick stephen j,phelps dennis b,HNST,9.56681
miller j sanford,phelps dennis b,HNST,9.56681
cardama alfonso quintas,justice angela,TCRR,14.2329
cardama alfonso quintas,menzel garry e,TCRR,14.5846
cardama alfonso quintas,olagunju peter,TCRR,14.9811
justice angela,menzel garry e,TCRR,14.2329
justice angela,olagunju peter,TCRR,14.4826
menzel garry e,olagunju peter,TCRR,14.9811
brant david mark elias,shalev uzi,MIMO,6.20457
brant david mark elias,smith petersen henrik,MIMO,6.20457
shalev uzi,smith petersen henrik,MIMO,5.89796
calton simon,keen victor f,CRTG,3.19282
delaney william j iii,libby russell t.,SYY,2.54828
frank joshua d.,peltz nelson,SYY,2.70948
grade joel t.,libby russell t.,SYY,2.33944
libby russell t.,moskowitz paul t,SYY,2.17571
mindich jeremy,sirovich matthew,ITRI,10.3416
goeltz ii robert c.,jaen juan c.,RCUS,2.46939
goeltz ii robert c.,jarrett jennifer,RCUS,2.72109
goeltz ii robert c.,rosen terry j,RCUS,2.46939
goeltz ii robert c.,tang carolyn c.,RCUS,2.46939
jaen juan c.,jarrett jennifer,RCUS,2.72109
jaen juan c.,rosen terry j,RCUS,2.46939
jaen juan c.,tang carolyn c.,RCUS,2.46939
jarrett jennifer,rosen terry j,RCUS,2.72109
jarrett jennifer,tang carolyn c.,RCUS,2.72109
rosen terry j,tang carolyn c.,RCUS,2.46939
doerfler douglas,holtz ron,MXCT,2.14674
doerfler douglas,masoud maher,MXCT,2.14674
doerfler douglas,murphy amanda louise,MXCT,2.14674
holtz ron,masoud maher,MXCT,5.00907
holtz ron,murphy amanda louise,MXCT,5.00907
masoud maher,murphy amanda louise,MXCT,5.00907
root jonathan d,tansey casey m,EFTR,18.4394
collins robert p,fleck jeffrey l,ZEP,3.63265
collins robert p,morgan john k,ZEP,3.63265
fleck jeffrey l,morgan john k,ZEP,3.63265
butterfield stewart,henderson cal,WORK,17.5149
butler helen rankin,butler john c jr,NC,8.75187
butler helen rankin,rankin alfred m et al,NC,5.12118
butler helen rankin,rankin alison a,NC,5.46033
butler helen rankin,rankin bruce t,NC,9.48249
butler helen rankin,rankin roger f,NC,5.46033
butler helen rankin,rankin victoire g,NC,5.08957
butler helen rankin,williams clara r,NC,5.13918
butler helen rankin,williams david b,NC,5.13918
butler john c jr,rankin alfred m et al,NC,5.12118
butler john c jr,rankin alison a,NC,5.46033
butler john c jr,rankin bruce t,NC,9.48249
butler john c jr,rankin roger f,NC,5.46033
butler john c jr,rankin victoire g,NC,5.08957
butler john c jr,williams clara r,NC,5.13918
butler john c jr,williams david b,NC,5.13918
rankin alfred m et al,rankin alison a,NC,4.44077
rankin alfred m et al,rankin bruce t,NC,5.95412
rankin alfred m et al,rankin roger f,NC,4.44077
rankin alfred m et al,rankin victoire g,NC,4.94771
rankin alfred m et al,williams clara r,NC,3.44295
rankin alfred m et al,williams david b,NC,3.44295
rankin alison a,rankin bruce t,NC,6.34778
rankin alison a,rankin roger f,NC,5.33664
rankin alison a,rankin victoire g,NC,4.42242
rankin alison a,williams clara r,NC,3.43945
rankin alison a,williams david b,NC,3.43945
rankin bruce t,rankin roger f,NC,6.34778
rankin bruce t,rankin victoire g,NC,5.90832
rankin bruce t,williams clara r,NC,5.56581
rankin bruce t,williams david b,NC,5.56581
rankin roger f,rankin victoire g,NC,4.42242
rankin roger f,williams clara r,NC,3.43945
rankin roger f,williams david b,NC,3.43945
rankin victoire g,williams clara r,NC,3.418
rankin victoire g,williams david b,NC,3.418
williams clara r,williams david b,NC,4.61413
dillon patrick,lu cheng,TSP,6.21224
dillon patrick,mullen james,TSP,6.21224
lu cheng,mullen james,TSP,5.76327
choubey diwakar,correia richard,ML,2.28346
harbaugh matthew k,schaefer kathy a,MNK,2.46939
burow kristina,crandell keith,NMRA,12.9829
burow kristina,gillis steven,NMRA,12.9829
burow kristina,nelsen robert,NMRA,12.9829
crandell keith,gillis steven,NMRA,12.9829
crandell keith,nelsen robert,NMRA,12.9829
gillis steven,nelsen robert,NMRA,12.9829
king john bryan,king luther jr,SSRG,9.31439
dakos andrew,goldstein phillip,SVVC,4.93186
dakos andrew,samuels steven,SVVC,4.93186
goldstein phillip,samuels steven,SVVC,4.93186
sacks rodney c,schlosberg hilton h,MNST,2.68111
curfman matthew j.,richmond brothers 401(k) profit sharing plan,AIRI,6.73061
curfman matthew j.,richmond david s.,AIRI,6.73061
richmond brothers 401(k) profit sharing plan,richmond david s.,AIRI,6.73061
bryant andy d,smith stacy j,INTC,2.58349
bryant diane m,smith stacy j,INTC,2.42662
holt william m,james renee jo,INTC,3.21262
holt william m,pearson gregory r,INTC,3.0017
holt william m,smith stacy j,INTC,2.02713
mcbride kevin thomas,rodgers steven ralph,INTC,2.51273
mcbride kevin thomas,shenoy navin,INTC,2.41743
pearson gregory r,smith stacy j,INTC,2.0838
rodgers steven ralph,shenoy navin,INTC,2.01188
caruso daniel,desgarennes kenneth,ZAYO,2.60012
caruso daniel,erickson matthew,ZAYO,2.61098
caruso daniel,morley christopher,ZAYO,3.02519
desgarennes kenneth,erickson matthew,ZAYO,2.64439
desgarennes kenneth,morley christopher,ZAYO,2.5429
erickson matthew,morley christopher,ZAYO,3.30702
godshall douglas evan,larose jeffrey,HTWR,2.01727
budman gleb,jones charles j.,BLZE,22.8885
budman gleb,ng kwok hang,BLZE,22.8885
budman gleb,nufire timothy m,BLZE,22.8885
budman gleb,wilson brian k,BLZE,22.8885
jones charles j.,ng kwok hang,BLZE,23.2462
jones charles j.,nufire timothy m,BLZE,23.2462
jones charles j.,wilson brian k,BLZE,23.2462
ng kwok hang,nufire timothy m,BLZE,23.2462
ng kwok hang,wilson brian k,BLZE,23.2462
nufire timothy m,wilson brian k,BLZE,23.2462
price philanthropies foundation,price robert e,PSMT,3.22896
chao albert,chao james,WLK,2.57046
lamb scott e,riggs steven,ICUI,3.5277
emancipation capital,frumberg charles,SABA,4.3502
eisenhardt elizabeth h,haas daniel s.,LEVI,3.92303
eisenhardt elizabeth h,haas jennifer c.,LEVI,4.06125
haas bradley j.,haas daniel s.,LEVI,5.68104
haas bradley j.,haas jennifer c.,LEVI,10.5388
haas bradley j.,haas robert d.,LEVI,8.67442
haas daniel s.,haas jennifer c.,LEVI,7.18426
haas jennifer c.,haas robert d.,LEVI,3.5252
aronson jeffrey,gallogly mark t,MPO,4.41858
landes joshua,obus nelson,WLMS,4.8243
griffith william j.g.,jacobson matthew,GTLB,2.63088
griffith william j.g.,makan divesh,GTLB,3.20086
jacobson matthew,makan divesh,GTLB,2.09711
derose robert,derose susan,LGCY,2.35842
evnin luke,foley todd,ITOS,14.0869
evnin luke,gadicke ansbert,ITOS,14.0869
foley todd,gadicke ansbert,ITOS,14.0869
lorentzatos nickolas j,lou michael h,OAS,2.17647
baggio barbara,chang dennis,VPLM,9.26458
baggio barbara,williams kevin bryan,VPLM,2.31505
calastri mario,curtin terrence r,TEL,2.12637
calastri mario,resch eric,TEL,2.00964
